grna_group,weighted_score
Dag1,7.851173732572533e-06
Ebf1,1.365099206701251e-05
Gclm,8.232714688646805e-06
Nr3c1,1.667890600750383e-05
Ncoa3,0.00016357574385425372
Igf2r,0.00035424500420995725
Zfpm1,0.0003683969783783207
Pkm,0.0010048844953851643
Foxo3,0.001393200028236667
Arid1b,0.0007992056657168456
Smad1,0.0023863642574106923
Gata2,0.003054745327088063
Dach1,0.004211574593761903
Crem,0.004834575372732678
Nos3,0.005192423067723483
Foxj3,0.005370926931818797
Ptk2,0.0034133979133205753
Gjc1,0.008698670601474003
Unc5b,0.012881840351203372
Arid3b,0.007584798641153425
Foxo1,0.013641759445598199
Calcrl,0.008501806520636533
Pon3,0.008621607797481685
Arl15,0.015925894771092488
Fos,0.007664157042221172
Sp4,0.017712607360493262
Kdr,0.015368483044811945
Ephb4,0.007878964777793348
Adgrl2,0.010262118599620909
Klf10,0.008637460705665062
Ptprs,0.012016519161107846
Prdm1,0.014834580703386986
Hspa5,0.011583165097538579
Gria4,0.020103837042472376
Fzd4,0.012679703639622744
Casp8,0.02065737169408494
Ogdh,0.026392150277664134
Vav3,0.01494085109105443
Dusp3,0.0780702885675602
E2f3,0.022575139787696957
Piezo1,0.02980976727433779
Hsp90ab1,0.019095690408344607
Ppia,0.02643497434703355
Hdac7,0.025096483000207184
Ctbp2,0.05551413589483326
Mcam,0.033876037484878906
Nrp1,0.029324116297691265
Icam2,0.040299159287334664
Nfib,0.03450159879489023
Taz,0.09033747001163676
Flrt2,0.057466458621519084
Adgrl1,0.045268365010087915
Sox13,0.09846109026346651
Fkbp8,0.06009963500743318
Tlnrd1,0.08759133234169465
Pbx3,0.10137042845543011
Auts2,0.15372831848254606
Nr2c2,0.08694663823685693
Sox5,0.0846463710794601
Dlg1,0.0929155710304827
Disc1,0.04104363019924363
Foxk2,0.07921138182356048
Mpzl1,0.08840981545914053
Nr5a2,0.23927418216025098
Nr4a1,0.1861078002680983
Hif1a,0.12003558995966497
Yap1,0.18846164587738534
Prdm16,0.2871028712680507
Prdm5,0.2890969530554716
Klf2,0.19966962840937344
Acvr2a,0.2902202670980821
Plxna4,0.26996250114062287
Fzd6,0.2431362534727294
Mdh2,0.36489833344796424
Plagl1,0.44272400031364567
Heg1,0.2519298435670277
Gng12,0.16645055780317553
Epas1,0.284873917221819
Ocln,0.21384634006594064
Tek,0.2586032469169124
Plxna2,0.3306990387775797
Creb5,0.3448440790022097
Ccser1,0.17083801358721556
Itgav,0.3314079467651129
Ncl,0.6764108936067806
Flt4,0.3533534471925493
Adgre5,0.2632604956583751
Cd81,0.563423794006022
Creb3l2,0.6092681800544989
Gnai2,0.3146137041099842
Flt1,0.5916432732779152
Mxi1,0.596873488603259
Idh2,0.6275741905254852
Smad5,0.6182990136277072
Egfl7,0.884845836660567
Nrp2,0.7202728668025105
Tfdp1,0.9140037356355044
Zfhx3,1.2459405247874373
Ccnd1,0.6083665286735236
Crim1,1.1632497614274244
Ncoa1,1.7997453130780523
